created_at,suburb,time,status,location,area,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust
2024-01-14 07:29:30+00:00,Gnangara,15:29:00,ADVICE,Gnangara-Moore River State Forest near Pinjar,CITY OF WANNEROO and SHIRE OF CHITTERING,23.3,36.6,0.0,11.2,12.7,SW,24.0,10:21
2024-01-23 02:42:54+00:00,Gnangara,10:42:00,BURNT,MUCHEA and PINJAR,SHIRE OF CHITTERING and CITY OF WANNEROO,16.6,27.7,0.0,9.4,13.0,S,39.0,13:52
2024-01-23 08:46:12+00:00,Gnangara,16:46:00,ADVICE,MELALEUCA and LEXIA,CITY OF SWAN,16.6,27.7,0.0,9.4,13.0,S,39.0,13:52
2024-01-24 07:52:25+00:00,Gnangara,15:52:00,BURNT,MELALEUCA and LEXIA,CITY OF SWAN,17.5,28.2,0.0,8.6,12.9,SSW,46.0,16:00
2024-02-13 03:46:10+00:00,Gosnells,11:46:00,WATCH AND ACT,MARTIN,CITY OF GOSNELLS,18.8,36.1,0.0,NULL,12.4,ESE,52,21:22
2024-02-13 04:03:39+00:00,Gosnells,12:03:00,WATCH AND ACT,MARTIN,CITY OF GOSNELLS,18.8,36.1,0.0,NULL,12.4,ESE,52,21:22
2024-02-13 05:00:36+00:00,Gosnells,13:00:00,ADVICE,MARTIN,CITY OF GOSNELLS,18.8,36.1,0.0,NULL,12.4,ESE,52,21:22
2024-02-13 06:59:56+00:00,Gosnells,14:59:00,BURNT,MARTIN,CITY OF GOSNELLS,18.8,36.1,0.0,NULL,12.4,ESE,52,21:22
2023-12-27 05:11:30+00:00,Gosnells,13:11:00,WATCH AND ACT,CHAMPION LAKES and GOSNELLS,CITY OF ARMADALE,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
2023-12-27 05:23:32+00:00,Gosnells,13:23:00,WATCH AND ACT,"CHAMPION LAKES, GOSNELLS and SOUTHERN RIVER",CITY OF ARMADALE and CITY OF GOSNELLS,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
2023-12-27 05:30:31+00:00,Gosnells,13:30:00,WATCH AND ACT,"CHAMPION LAKES, GOSNELLS and SOUTHERN RIVER",CITY OF ARMADALE and CITY OF GOSNELLS,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
2023-12-27 06:10:41+00:00,Gosnells,14:10:00,ADVICE,"CHAMPION LAKES, GOSNELLS and SOUTHERN RIVER",CITY OF ARMADALE and CITY OF GOSNELLS,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
2023-12-27 07:46:20+00:00,Gosnells,15:46:00,BURNT,"CHAMPION LAKES, GOSNELLS and SOUTHERN RIVER",CITY OF ARMADALE and CITY OF GOSNELLS,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
2023-12-27 09:11:29+00:00,Gosnells,17:11:00,BURNT,"CHAMPION LAKES, GOSNELLS and SOUTHERN RIVER",CITY OF ARMADALE and CITY OF GOSNELLS,16.0,26.4,0.0,NULL,12.7,ESE,57,23:51
2024-02-09 00:51:59+00:00,Guildford,8:51:00,ADVICE,"ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD",TOWN of BASSENDEAN and CITIES of BELMONT and SWAN,18.8,43.4,0.0,14.2,12.5,ENE,46,7:17
2024-02-09 02:32:18+00:00,Guildford,10:32:00,ADVICE,"ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD",TOWN of BASSENDEAN and CITIES of BELMONT and SWAN,18.8,43.4,0.0,14.2,12.5,ENE,46,7:17
2024-02-09 03:55:32+00:00,Guildford,11:55:00,ADVICE,"ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD",TOWN of BASSENDEAN and CITIES of BELMONT and SWAN,18.8,43.4,0.0,14.2,12.5,ENE,46,7:17
2024-02-09 07:39:41+00:00,Guildford,15:39:00,BURNT,"ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD",CITIES of BELMONT and SWAN,18.8,43.4,0.0,14.2,12.5,ENE,46,7:17
2024-02-08 22:05:59+00:00,Guildford,6:05:00,WATCH AND ACT,"HAZELMERE, HIGH WYCOMBE, PERTH AIRPORT and SOUTH GUILDFORD",CITY OF SWAN and SHIRE OF KALAMUNDA,15.4,41.1,0.0,11.8,12.7,ENE,50,12:21
2024-02-08 23:34:14+00:00,Guildford,7:34:00,WATCH AND ACT,"PERTH AIRPORT, HIGH WYCOMBE and SOUTH GUILDFORD",CITIES OF SWAN and BELMONT and SHIRE OF KALAMUNDA,15.4,41.1,0.0,11.8,12.7,ENE,50,12:21
2024-02-19 00:35:40+00:00,Gwelup,8:35:00,BURNT,GWELUP and KARRINYUP,CITY OF STIRLING,27.5,42.3,0.0,13.6,5.5,NE,35,10:57
